@RELATION PPI

@ATTRIBUTE Protein1 STRING
@ATTRIBUTE Protein2 STRING
@ATTRIBUTE ProteinExpressionSim NUMERIC
@ATTRIBUTE GeneExpressionSim NUMERIC
@ATTRIBUTE DIPSim NUMERIC
@ATTRIBUTE PositiveData {true,false}

@DATA
YGL077C, YJR133W, 0.16, 0.63, 0.00, false
YJR133W, YGL077C, 0.16, 0.63, 0.00, false
YGL077C, YKL006C-A, 0.22, 0.17, 0.00, false
YKL006C-A, YGL077C, 0.22, 0.17, 0.00, false
YGL077C, YKL106C-A, 0.23, 0.05, 0.00, false
YKL106C-A, YGL077C, 0.23, 0.05, 0.00, false
YGL078C, YOR214C, 0.17, 0.19, 0.00, false
YOR214C, YGL078C, 0.17, 0.19, 0.00, false
YGL079W, YGR156W, 0.26, 0.02, 0.00, false
YGR156W, YGL079W, 0.26, 0.02, 0.00, false
YGL079W, YLR427W, 0.17, 0.09, 0.00, false
YLR427W, YGL079W, 0.17, 0.09, 0.00, false
YGL079W, YPL110C, 0.26, -0.08, 0.00, false
YPL110C, YGL079W, 0.26, -0.08, 0.00, false
YGL081W, YHL046C, 0.06, 0.56, 0.00, false
YHL046C, YGL081W, 0.06, 0.56, 0.00, false
YGL081W, YLR005W, 0.24, 0.13, 0.00, false
YLR005W, YGL081W, 0.24, 0.13, 0.00, false
YGL081W, YOL113W, 0.31, -0.24, 0.00, false
YOL113W, YGL081W, 0.31, -0.24, 0.00, false
YGL081W, YOR271C, 0.14, 0.30, 0.00, false
YOR271C, YGL081W, 0.14, 0.30, 0.00, false
YGL082W, YGL202W, 0.32, -0.05, 0.00, false
YGL202W, YGL082W, 0.32, -0.05, 0.00, false
YGL083W, YGL217C, 0.32, 0.54, 0.00, false
YGL217C, YGL083W, 0.32, 0.54, 0.00, false
YGL083W, YPL012W, 0.59, 0.07, 0.00, false
YPL012W, YGL083W, 0.59, 0.07, 0.00, false
YGL084C, YHR020W, 0.36, -0.16, 0.00, false
YHR020W, YGL084C, 0.36, -0.16, 0.00, false
YGL084C, YLR264W, 0.02, -0.07, 0.03, false
YLR264W, YGL084C, 0.02, -0.07, 0.03, false
YGL084C, YNL173C, 0.21, 0.05, 0.00, false
YNL173C, YGL084C, 0.21, 0.05, 0.00, false
YGL085W, YHR214C-E, 0.23, 0.05, 0.00, false
YHR214C-E, YGL085W, 0.23, 0.05, 0.00, false
YGL085W, YNL309W, 0.15, 0.07, 0.00, false
YNL309W, YGL085W, 0.15, 0.07, 0.00, false
YGL086W, YJL005W, 0.39, -0.05, 0.00, false
YJL005W, YGL086W, 0.39, -0.05, 0.00, false
YGL086W, YJR153W, 0.12, 0.06, 0.00, false
YJR153W, YGL086W, 0.12, 0.06, 0.00, false
YGL089C, YLR429W, 0.20, 0.22, 0.00, false
YLR429W, YGL089C, 0.20, 0.22, 0.00, false
YGL089C, YPL122C, 0.12, 0.19, 0.00, false
YPL122C, YGL089C, 0.12, 0.19, 0.00, false
YGL090W, YIL088C, 0.16, 0.03, 0.00, false
YIL088C, YGL090W, 0.16, 0.03, 0.00, false
YGL090W, YLR048W, 0.08, -0.23, 0.00, false
YLR048W, YGL090W, 0.08, -0.23, 0.00, false
YGL090W, YLR119W, 0.30, 0.13, 0.07, false
YLR119W, YGL090W, 0.30, 0.13, 0.07, false
YGL091C, YHR072W, 0.34, 0.00, 0.00, false
YHR072W, YGL091C, 0.34, 0.00, 0.00, false
YGL091C, YLR339C, 0.26, -0.56, 0.00, false
YLR339C, YGL091C, 0.26, -0.56, 0.00, false
YGL091C, YNL323W, 0.23, 0.02, 0.00, false
YNL323W, YGL091C, 0.23, 0.02, 0.00, false
YGL091C, YOR222W, 0.31, -0.06, 0.00, false
YOR222W, YGL091C, 0.31, -0.06, 0.00, false
YGL092W, YKL028W, 0.18, 0.02, 0.00, false
YKL028W, YGL092W, 0.18, 0.02, 0.00, false
YGL092W, YLR156W, 0.20, -0.07, 0.00, false
YLR156W, YGL092W, 0.20, -0.07, 0.00, false
YGL093W, YJR102C, 0.20, -0.21, 0.00, false
YJR102C, YGL093W, 0.20, -0.21, 0.00, false
YGL093W, YOR151C, 0.44, -0.07, 0.00, false
YOR151C, YGL093W, 0.44, -0.07, 0.00, false
YGL094C, YGR063C, 0.04, 0.03, 0.00, false
YGR063C, YGL094C, 0.04, 0.03, 0.00, false
YGL094C, YJR028W, 0.36, -0.13, 0.00, false
YJR028W, YGL094C, 0.36, -0.13, 0.00, false
YGL096W, YHR174W, 0.09, 0.09, 0.00, false
YHR174W, YGL096W, 0.09, 0.09, 0.00, false
YGL096W, YNL028W, 0.18, 0.44, 0.17, false
YNL028W, YGL096W, 0.18, 0.44, 0.17, false
YGL096W, YNL181W, 0.24, 0.15, 0.00, false
YNL181W, YGL096W, 0.24, 0.15, 0.00, false
YGL097W, YLR154W-C, 0.23, 0.05, 0.00, false
YLR154W-C, YGL097W, 0.23, 0.05, 0.00, false
YGL097W, YPR018W, 0.17, 0.18, 0.03, false
YPR018W, YGL097W, 0.17, 0.18, 0.03, false
YGL098W, YGR253C, 0.21, 0.39, 0.00, false
YGR253C, YGL098W, 0.21, 0.39, 0.00, false
YGL098W, YLR396C, 0.23, 0.32, 0.00, false
YLR396C, YGL098W, 0.23, 0.32, 0.00, false
YGL098W, YOR154W, 0.27, 0.14, 0.00, false
YOR154W, YGL098W, 0.27, 0.14, 0.00, false
YGL099W, YJL096W, 0.27, 0.07, 0.00, false
YJL096W, YGL099W, 0.27, 0.07, 0.00, false
YGL099W, YNL245C, 0.23, 0.12, 0.00, false
YNL245C, YGL099W, 0.23, 0.12, 0.00, false
YGL099W, YPR070W, 0.25, 0.33, 0.00, false
YPR070W, YGL099W, 0.25, 0.33, 0.00, false
YGL100W, YLR096W, 0.23, 0.10, 0.00, false
YLR096W, YGL100W, 0.23, 0.10, 0.00, false
YGL100W, YPR056W, 0.06, 0.14, 0.00, false
YPR056W, YGL100W, 0.06, 0.14, 0.00, false
YGL101W, YMR069W, 0.10, -0.16, 0.00, false
YMR069W, YGL101W, 0.10, -0.16, 0.00, false
YGL102C, YGR126W, 0.16, 0.10, 0.00, false
YGR126W, YGL102C, 0.16, 0.10, 0.00, false
YGL102C, YHR109W, 0.32, -0.10, 0.00, false
YHR109W, YGL102C, 0.32, -0.10, 0.00, false
YGL102C, YML061C, 0.24, -0.46, 0.00, false
YML061C, YGL102C, 0.24, -0.46, 0.00, false
YGL102C, YOR083W, 0.24, -0.60, 0.00, false
YOR083W, YGL102C, 0.24, -0.60, 0.00, false
YGL102C, YOR382W, 0.24, 0.30, 0.00, false
YOR382W, YGL102C, 0.24, 0.30, 0.00, false
YGL103W, YHR163W, 0.16, 0.52, 0.00, false
YHR163W, YGL103W, 0.16, 0.52, 0.00, false
YGL103W, YJL178C, 0.08, -0.19, 0.00, false
YJL178C, YGL103W, 0.08, -0.19, 0.00, false
YGL103W, YOR267C, 0.09, -0.14, 0.00, false
YOR267C, YGL103W, 0.09, -0.14, 0.00, false
YGL103W, YOR293W, 0.11, 0.80, 0.00, false
YOR293W, YGL103W, 0.11, 0.80, 0.00, false
YGL104C, YHL030W, 0.57, 0.47, 0.00, false
YHL030W, YGL104C, 0.57, 0.47, 0.00, false
YGL104C, YHR076W, 0.33, 0.18, 0.00, false
YHR076W, YGL104C, 0.33, 0.18, 0.00, false
YGL104C, YPR137C-A, 0.23, 0.05, 0.00, false
YPR137C-A, YGL104C, 0.23, 0.05, 0.00, false
YGL105W, YKL134C, 0.23, -0.21, 0.00, false
YKL134C, YGL105W, 0.23, -0.21, 0.00, false
YGL105W, YNL055C, 0.14, -0.09, 0.00, false
YNL055C, YGL105W, 0.14, -0.09, 0.00, false
YGL106W, YHR056C, 0.12, -0.04, 0.00, false
YHR056C, YGL106W, 0.12, -0.04, 0.00, false
YGL106W, YJL062W, 0.14, -0.33, 0.00, false
YJL062W, YGL106W, 0.14, -0.33, 0.00, false
YGL106W, YNL226W, 0.03, -0.08, 0.00, false
YNL226W, YGL106W, 0.03, -0.08, 0.00, false
YGL107C, YGL193C, 0.36, -0.43, 0.00, false
YGL193C, YGL107C, 0.36, -0.43, 0.00, false
YGL107C, YJL095W, 0.52, 0.16, 0.00, false
YJL095W, YGL107C, 0.52, 0.16, 0.00, false
YGL108C, YJL175W, 0.11, 0.39, 0.00, false
YJL175W, YGL108C, 0.11, 0.39, 0.00, false
YGL108C, YKR100C, 0.11, 0.04, 0.00, false
YKR100C, YGL108C, 0.11, 0.04, 0.00, false
YGL108C, YLR162W-A, 0.23, 0.05, 0.00, false
YLR162W-A, YGL108C, 0.23, 0.05, 0.00, false
YGL108C, YNL326C, -0.03, -0.17, 0.00, false
YNL326C, YGL108C, -0.03, -0.17, 0.00, false
YGL110C, YJL095W, 0.41, 0.20, 0.00, false
YJL095W, YGL110C, 0.41, 0.20, 0.00, false
YGL111W, YKR091W, 0.11, -0.03, 0.00, false
YKR091W, YGL111W, 0.11, -0.03, 0.00, false
YGL111W, YLR007W, 0.18, 0.32, 0.00, false
YLR007W, YGL111W, 0.18, 0.32, 0.00, false
YGL111W, YMR197C, 0.13, -0.24, 0.00, false
YMR197C, YGL111W, 0.13, -0.24, 0.00, false
YGL111W, YOR282W, 0.14, -0.04, 0.00, false
YOR282W, YGL111W, 0.14, -0.04, 0.00, false
YGL112C, YGR234W, 0.28, 0.39, 0.00, false
YGR234W, YGL112C, 0.28, 0.39, 0.00, false
YGL113W, YIR019C, 0.14, 0.02, 0.00, false
YIR019C, YGL113W, 0.14, 0.02, 0.00, false
YGL113W, YLR410W, 0.38, -0.10, 0.00, false
YLR410W, YGL113W, 0.38, -0.10, 0.00, false
YGL113W, YMR261C, 0.38, -0.06, 0.00, false
YMR261C, YGL113W, 0.38, -0.06, 0.00, false
YGL113W, YPL066W, 0.43, 0.12, 0.00, false
YPL066W, YGL113W, 0.43, 0.12, 0.00, false
YGL114W, YHR083W, 0.33, 0.40, 0.00, false
YHR083W, YGL114W, 0.33, 0.40, 0.00, false
YGL114W, YJR127C, 0.53, -0.29, 0.00, false
YJR127C, YGL114W, 0.53, -0.29, 0.00, false
YGL115W, YIR024C, 0.23, 0.54, 0.00, false
YIR024C, YGL115W, 0.23, 0.54, 0.00, false
YGL115W, YML112W, 0.27, 0.04, 0.00, false
YML112W, YGL115W, 0.27, 0.04, 0.00, false
YGL116W, YGL175C, 0.16, 0.43, 0.00, false
YGL175C, YGL116W, 0.16, 0.43, 0.00, false
YGL116W, YLR225C, 0.27, -0.11, 0.00, false
YLR225C, YGL116W, 0.27, -0.11, 0.00, false
YGL116W, YMR155W, 0.36, 0.02, 0.00, false
YMR155W, YGL116W, 0.36, 0.02, 0.00, false
YGL116W, YOR174W, 0.14, -0.09, 0.00, false
YOR174W, YGL116W, 0.14, -0.09, 0.00, false
YGL117W, YNL325C, 0.26, -0.02, 0.00, false
YNL325C, YGL117W, 0.26, -0.02, 0.00, false
YGL117W, YPL209C, 0.18, 0.48, 0.00, false
YPL209C, YGL117W, 0.18, 0.48, 0.00, false
YGL119W, YGR170W, 0.36, 0.47, 0.00, false
YGR170W, YGL119W, 0.36, 0.47, 0.00, false
YGL119W, YIL131C, 0.27, -0.27, 0.00, false
YIL131C, YGL119W, 0.27, -0.27, 0.00, false
YGL119W, YKL106W, 0.35, 0.07, 0.00, false
YKL106W, YGL119W, 0.35, 0.07, 0.00, false
YGL119W, YML121W, 0.14, 0.39, 0.00, false
YML121W, YGL119W, 0.14, 0.39, 0.00, false
YGL120C, YGR163W, 0.30, -0.47, 0.00, false
YGR163W, YGL120C, 0.30, -0.47, 0.00, false
YGL120C, YKL166C, 0.32, 0.27, 0.00, false
YKL166C, YGL120C, 0.32, 0.27, 0.00, false
YGL120C, YLR283W, 0.33, -0.32, 0.00, false
YLR283W, YGL120C, 0.33, -0.32, 0.00, false
YGL120C, YLR386W, 0.43, -0.11, 0.01, false
YLR386W, YGL120C, 0.43, -0.11, 0.01, false
YGL121C, YIL095W, 0.23, -0.08, 0.00, false
YIL095W, YGL121C, 0.23, -0.08, 0.00, false
YGL121C, YIL125W, 0.22, 0.28, 0.00, false
YIL125W, YGL121C, 0.22, 0.28, 0.00, false
YGL121C, YKL117W, 0.20, 0.19, 0.00, false
YKL117W, YGL121C, 0.20, 0.19, 0.00, false
YGL121C, YPL063W, 0.29, 0.18, 0.00, false
YPL063W, YGL121C, 0.29, 0.18, 0.00, false
YGL121C, YPL253C, 0.20, -0.39, 0.00, false
YPL253C, YGL121C, 0.20, -0.39, 0.00, false
YGL122C, YGR279C, 0.17, -0.15, 0.00, false
YGR279C, YGL122C, 0.17, -0.15, 0.00, false
YGL122C, YLR049C, 0.27, 0.07, 0.00, false
YLR049C, YGL122C, 0.27, 0.07, 0.00, false
YGL123W, YHR069C, 0.19, 0.39, 0.00, false
YHR069C, YGL123W, 0.19, 0.39, 0.00, false
YGL123W, YKL058W, 0.07, 0.08, 0.00, false
YKL058W, YGL123W, 0.07, 0.08, 0.00, false
YGL123W, YML042W, 0.32, -0.64, 0.00, false
YML042W, YGL123W, 0.32, -0.64, 0.00, false
YGL123W, YNL236W, 0.21, 0.26, 0.00, false
YNL236W, YGL123W, 0.21, 0.26, 0.00, false
YGL123W, YNR047W, 0.20, 0.39, 0.00, false
YNR047W, YGL123W, 0.20, 0.39, 0.00, false
YGL126W, YMR135C, 0.24, 0.19, 0.00, false
YMR135C, YGL126W, 0.24, 0.19, 0.00, false
YGL126W, YPR180W, 0.33, 0.12, 0.00, false
YPR180W, YGL126W, 0.33, 0.12, 0.00, false
YGL127C, YMR111C, 0.16, 0.21, 0.00, false
YMR111C, YGL127C, 0.16, 0.21, 0.00, false
YGL127C, YOR109W, 0.30, -0.05, 0.00, false
YOR109W, YGL127C, 0.30, -0.05, 0.00, false
YGL128C, YLR253W, 0.33, -0.27, 0.00, false
YLR253W, YGL128C, 0.33, -0.27, 0.00, false
YGL128C, YPL021W, 0.19, -0.06, 0.00, false
YPL021W, YGL128C, 0.19, -0.06, 0.00, false
YGL129C, YGR101W, 0.30, 0.16, 0.00, false
YGR101W, YGL129C, 0.30, 0.16, 0.00, false
YGL129C, YKL145W, 0.28, -0.30, 0.00, false
YKL145W, YGL129C, 0.28, -0.30, 0.00, false
YGL129C, YPL121C, 0.02, 0.11, 0.00, false
YPL121C, YGL129C, 0.02, 0.11, 0.00, false
YGL130W, YGL236C, 0.35, -0.13, 0.00, false
YGL236C, YGL130W, 0.35, -0.13, 0.00, false
YGL130W, YGR127W, 0.27, 0.48, 0.00, false
YGR127W, YGL130W, 0.27, 0.48, 0.00, false
YGL130W, YIL031W, 0.30, 0.17, 0.00, false
YIL031W, YGL130W, 0.30, 0.17, 0.00, false
YGL131C, YGL234W, 0.32, 0.14, 0.00, false
YGL234W, YGL131C, 0.32, 0.14, 0.00, false
YGL131C, YHR021C, 0.14, 0.10, 0.00, false
YHR021C, YGL131C, 0.14, 0.10, 0.00, false
YGL131C, YHR182W, 0.39, 0.41, 0.00, false
YHR182W, YGL131C, 0.39, 0.41, 0.00, false
YGL131C, YOL078W, 0.35, 0.16, 0.00, false
YOL078W, YGL131C, 0.35, 0.16, 0.00, false
YGL131C, YPR006C, 0.22, 0.23, 0.00, false
YPR006C, YGL131C, 0.22, 0.23, 0.00, false
YGL132W, YMR029C, 0.25, 0.27, 0.00, false
YMR029C, YGL132W, 0.25, 0.27, 0.00, false
YGL132W, YOR217W, 0.25, -0.08, 0.00, false
YOR217W, YGL132W, 0.25, -0.08, 0.00, false
YGL133W, YJL216C, 0.36, 0.36, 0.00, false
YJL216C, YGL133W, 0.36, 0.36, 0.00, false
YGL134W, YIL095W, 0.36, 0.05, 0.00, false
YIL095W, YGL134W, 0.36, 0.05, 0.00, false
YGL134W, YKL107W, 0.13, -0.02, 0.00, false
YKL107W, YGL134W, 0.13, -0.02, 0.00, false
YGL134W, YLR374C, 0.12, 0.33, 0.00, false
YLR374C, YGL134W, 0.12, 0.33, 0.00, false
YGL134W, YMR189W, 0.32, 0.07, 0.00, false
YMR189W, YGL134W, 0.32, 0.07, 0.00, false
YGL134W, YOR023C, 0.29, 0.10, 0.00, false
YOR023C, YGL134W, 0.29, 0.10, 0.00, false
YGL135W, YLR177W, 0.25, 0.17, 0.00, false
YLR177W, YGL135W, 0.25, 0.17, 0.00, false
YGL135W, YOR368W, 0.26, -0.50, 0.00, false
YOR368W, YGL135W, 0.26, -0.50, 0.00, false
YGL136C, YKL167C, 0.16, -0.07, 0.00, false
YKL167C, YGL136C, 0.16, -0.07, 0.00, false
YGL136C, YNR053C, 0.26, 0.15, 0.00, false
YNR053C, YGL136C, 0.26, 0.15, 0.00, false
YGL137W, YHR064C, 0.42, 0.58, 0.00, false
YHR064C, YGL137W, 0.42, 0.58, 0.00, false
YGL137W, YNL284C-B, 0.23, 0.05, 0.00, false
YNL284C-B, YGL137W, 0.23, 0.05, 0.00, false
YGL137W, YOL077C, 0.26, 0.41, 0.00, false
YOL077C, YGL137W, 0.26, 0.41, 0.00, false
YGL138C, YIR036C, 0.18, -0.09, 0.00, false
YIR036C, YGL138C, 0.18, -0.09, 0.00, false
YGL138C, YJR135W-A, 0.23, 0.05, 0.00, false
YJR135W-A, YGL138C, 0.23, 0.05, 0.00, false
YGL138C, YOL039W, 0.00, -0.51, 0.00, false
YOL039W, YGL138C, 0.00, -0.51, 0.00, false
YGL138C, YOL076W, 0.36, 0.26, 0.00, false
YOL076W, YGL138C, 0.36, 0.26, 0.00, false
YGL139W, YHR171W, 0.36, 0.19, 0.00, false
YHR171W, YGL139W, 0.36, 0.19, 0.00, false
YGL139W, YOR008C-A, 0.23, 0.24, 0.00, false
YOR008C-A, YGL139W, 0.23, 0.24, 0.00, false
YGL140C, YJL113W, 0.46, 0.09, 0.00, false
YJL113W, YGL140C, 0.46, 0.09, 0.00, false
YGL140C, YJR026W, 0.46, -0.01, 0.00, false
YJR026W, YGL140C, 0.46, -0.01, 0.00, false
YGL140C, YJR102C, 0.25, 0.29, 0.00, false
YJR102C, YGL140C, 0.25, 0.29, 0.00, false
YGL141W, YGR231C, 0.26, -0.19, 0.00, false
YGR231C, YGL141W, 0.26, -0.19, 0.00, false
YGL142C, YGR161W-A, 0.23, 0.05, 0.00, false
YGR161W-A, YGL142C, 0.23, 0.05, 0.00, false
YGL142C, YKL108W, 0.24, 0.45, 0.00, false
YKL108W, YGL142C, 0.24, 0.45, 0.00, false
YGL142C, YKR035W-A, 0.23, 0.05, 0.00, false
YKR035W-A, YGL142C, 0.23, 0.05, 0.00, false
YGL142C, YKR090W, 0.22, 0.44, 0.00, false
YKR090W, YGL142C, 0.22, 0.44, 0.00, false
YGL142C, YNL105W, 0.58, 0.53, 0.00, false
YNL105W, YGL142C, 0.58, 0.53, 0.00, false
YGL142C, YOL159C, 0.12, 0.18, 0.00, false
YOL159C, YGL142C, 0.12, 0.18, 0.00, false
YGL142C, YPL250C, 0.31, 0.18, 0.00, false
YPL250C, YGL142C, 0.31, 0.18, 0.00, false
YGL143C, YHR208W, 0.11, -0.16, 0.00, false
YHR208W, YGL143C, 0.11, -0.16, 0.00, false
YGL143C, YLR361C, 0.26, -0.18, 0.00, false
YLR361C, YGL143C, 0.26, -0.18, 0.00, false
YGL143C, YOR359W, 0.17, 0.17, 0.00, false
YOR359W, YGL143C, 0.17, 0.17, 0.00, false
YGL144C, YHR157W, 0.37, 0.58, 0.00, false
YHR157W, YGL144C, 0.37, 0.58, 0.00, false
YGL144C, YKL005C, 0.26, -0.13, 0.00, false
YKL005C, YGL144C, 0.26, -0.13, 0.00, false
YGL144C, YKL063C, 0.13, 0.49, 0.00, false
YKL063C, YGL144C, 0.13, 0.49, 0.00, false
YGL146C, YKR069W, 0.35, 0.09, 0.00, false
YKR069W, YGL146C, 0.35, 0.09, 0.00, false
YGL146C, YOR345C, 0.24, -0.26, 0.00, false
YOR345C, YGL146C, 0.24, -0.26, 0.00, false
YGL147C, YLR323C, 0.09, 0.33, 0.00, false
YLR323C, YGL147C, 0.09, 0.33, 0.00, false
YGL148W, YHR150W, 0.23, -0.01, 0.00, false
YHR150W, YGL148W, 0.23, -0.01, 0.00, false
YGL148W, YJR112W-A, 0.23, 0.05, 0.00, false
YJR112W-A, YGL148W, 0.23, 0.05, 0.00, false
YGL148W, YMR305C, 0.29, -0.01, 0.00, false
YMR305C, YGL148W, 0.29, -0.01, 0.00, false
YGL148W, YNL269W, 0.05, -0.17, 0.00, false
YNL269W, YGL148W, 0.05, -0.17, 0.00, false
YGL149W, YIL055C, 0.35, -0.22, 0.00, false
YIL055C, YGL149W, 0.35, -0.22, 0.00, false
YGL150C, YKL203C, 0.47, 0.17, 0.00, false
YKL203C, YGL150C, 0.47, 0.17, 0.00, false
YGL150C, YLR341W, 0.32, -0.30, 0.00, false
YLR341W, YGL150C, 0.32, -0.30, 0.00, false
YGL150C, YMR045C, 0.49, 0.05, 0.00, false
YMR045C, YGL150C, 0.49, 0.05, 0.00, false
YGL150C, YNL121C, 0.23, -0.01, 0.00, false
YNL121C, YGL150C, 0.23, -0.01, 0.00, false
YGL150C, YPR008W, 0.41, 0.20, 0.00, false
YPR008W, YGL150C, 0.41, 0.20, 0.00, false
YGL151W, YKL222C, 0.50, -0.07, 0.00, false
YKL222C, YGL151W, 0.50, -0.07, 0.00, false
YGL151W, YPR079W, 0.24, -0.38, 0.00, false
YPR079W, YGL151W, 0.24, -0.38, 0.00, false
YGL153W, YJR127C, 0.26, 0.50, 0.00, false
YJR127C, YGL153W, 0.26, 0.50, 0.00, false
YGL153W, YLR256W-A, 0.23, 0.05, 0.00, false
YLR256W-A, YGL153W, 0.23, 0.05, 0.00, false
YGL153W, YMR159C, 0.12, 0.35, 0.00, false
YMR159C, YGL153W, 0.12, 0.35, 0.00, false
YGL153W, YNL094W, 0.19, 0.06, 0.00, false
YNL094W, YGL153W, 0.19, 0.06, 0.00, false
YGL154C, YGL191W, 0.06, -0.39, 0.00, false
YGL191W, YGL154C, 0.06, -0.39, 0.00, false
YGL154C, YGR035W-A, 0.23, 0.05, 0.00, false
YGR035W-A, YGL154C, 0.23, 0.05, 0.00, false
YGL154C, YMR210W, 0.26, 0.01, 0.00, false
YMR210W, YGL154C, 0.26, 0.01, 0.00, false
YGL156W, YLR410W-B, 0.23, 0.05, 0.00, false
YLR410W-B, YGL156W, 0.23, 0.05, 0.00, false
YGL156W, YMR158W, 0.23, 0.22, 0.00, false
YMR158W, YGL156W, 0.23, 0.22, 0.00, false
YGL156W, YOL015W, 0.38, -0.14, 0.00, false
YOL015W, YGL156W, 0.38, -0.14, 0.00, false
YGL157W, YML116W, 0.27, 0.20, 0.00, false
YML116W, YGL157W, 0.27, 0.20, 0.00, false
YGL157W, YNL164C, 0.15, -0.08, 0.00, false
YNL164C, YGL157W, 0.15, -0.08, 0.00, false
YGL157W, YNL189W, 0.29, -0.13, 0.00, false
YNL189W, YGL157W, 0.29, -0.13, 0.00, false
YGL157W, YOR213C, 0.17, 0.41, 0.00, false
YOR213C, YGL157W, 0.17, 0.41, 0.00, false
YGL157W, YPL119C-A, 0.23, 0.05, 0.00, false
YPL119C-A, YGL157W, 0.23, 0.05, 0.00, false
YGL158W, YLR154C, 0.18, -0.31, 0.00, false
YLR154C, YGL158W, 0.18, -0.31, 0.00, false
YGL158W, YMR251W, 0.22, 0.01, 0.00, false
YMR251W, YGL158W, 0.22, 0.01, 0.00, false
YGL160W, YIL067C, 0.48, 0.02, 0.00, false
YIL067C, YGL160W, 0.48, 0.02, 0.00, false
YGL160W, YNL107W, 0.10, 0.10, 0.00, false
YNL107W, YGL160W, 0.10, 0.10, 0.00, false
YGL161C, YLR254C, 0.11, 0.02, 0.00, false
YLR254C, YGL161C, 0.11, 0.02, 0.00, false
YGL162W, YML011C, 0.16, -0.32, 0.00, false
YML011C, YGL162W, 0.16, -0.32, 0.00, false
YGL162W, YMR204C, 0.36, 0.32, 0.00, false
YMR204C, YGL162W, 0.36, 0.32, 0.00, false
YGL162W, YNL048W, 0.31, -0.23, 0.00, false
YNL048W, YGL162W, 0.31, -0.23, 0.00, false
YGL163C, YGR104C, 0.25, 0.43, 0.00, false
YGR104C, YGL163C, 0.25, 0.43, 0.00, false
YGL163C, YHR115C, 0.29, 0.42, 0.00, false
YHR115C, YGL163C, 0.29, 0.42, 0.00, false
YGL163C, YNR010W, 0.19, -0.31, 0.00, false
YNR010W, YGL163C, 0.19, -0.31, 0.00, false
YGL164C, YGL173C, 0.37, -0.03, 0.00, false
YGL173C, YGL164C, 0.37, -0.03, 0.00, false
YGL164C, YJL181W, 0.26, -0.12, 0.00, false
YJL181W, YGL164C, 0.26, -0.12, 0.00, false
YGL164C, YJR091C, 0.25, 0.16, 0.00, false
YJR091C, YGL164C, 0.25, 0.16, 0.00, false
YGL165C, YIL134W, 0.21, 0.26, 0.00, false
YIL134W, YGL165C, 0.21, 0.26, 0.00, false
YGL165C, YKL059C, 0.39, 0.19, 0.00, false
YKL059C, YGL165C, 0.39, 0.19, 0.00, false
YGL165C, YLR407W, 0.23, -0.31, 0.00, false
YLR407W, YGL165C, 0.23, -0.31, 0.00, false
YGL165C, YMR213W, 0.15, 0.53, 0.00, false
YMR213W, YGL165C, 0.15, 0.53, 0.00, false
YGL165C, YMR315W-A, 0.23, 0.05, 0.00, false
YMR315W-A, YGL165C, 0.23, 0.05, 0.00, false
YGL165C, YNL267W, 0.25, -0.29, 0.00, false
YNL267W, YGL165C, 0.25, -0.29, 0.00, false
YGL166W, YJL208C, 0.06, 0.23, 0.00, false
YJL208C, YGL166W, 0.06, 0.23, 0.00, false
YGL167C, YKL137W, 0.19, 0.27, 0.00, false
YKL137W, YGL167C, 0.19, 0.27, 0.00, false
YGL167C, YLR283W, 0.21, -0.23, 0.00, false
YLR283W, YGL167C, 0.21, -0.23, 0.00, false
YGL167C, YOR068C, 0.22, 0.41, 0.00, false
YOR068C, YGL167C, 0.22, 0.41, 0.00, false
YGL168W, YIL147C, 0.33, -0.07, 0.00, false
YIL147C, YGL168W, 0.33, -0.07, 0.00, false
YGL168W, YKL119C, 0.12, 0.02, 0.00, false
YKL119C, YGL168W, 0.12, 0.02, 0.00, false
YGL168W, YOR328W, 0.37, -0.33, 0.00, false
YOR328W, YGL168W, 0.37, -0.33, 0.00, false
YGL169W, YGR104C, 0.18, 0.18, 0.00, false
YGR104C, YGL169W, 0.18, 0.18, 0.00, false
YGL169W, YJL145W, 0.23, 0.25, 0.00, false
YJL145W, YGL169W, 0.23, 0.25, 0.00, false
YGL169W, YJR016C, 0.37, -0.03, 0.00, false
YJR016C, YGL169W, 0.37, -0.03, 0.00, false
YGL170C, YGR023W, 0.15, -0.38, 0.00, false
YGR023W, YGL170C, 0.15, -0.38, 0.00, false
YGL170C, YIL113W, 0.12, 0.28, 0.00, false
YIL113W, YGL170C, 0.12, 0.28, 0.00, false
YGL170C, YKR086W, 0.33, 0.03, 0.00, false
YKR086W, YGL170C, 0.33, 0.03, 0.00, false
YGL170C, YPR096C, 0.05, -0.06, 0.00, false
YPR096C, YGL170C, 0.05, -0.06, 0.00, false
YGL171W, YIL115C, 0.22, 0.15, 0.00, false
YIL115C, YGL171W, 0.22, 0.15, 0.00, false
YGL171W, YKR004C, 0.22, -0.00, 0.00, false
YKR004C, YGL171W, 0.22, -0.00, 0.00, false
YGL171W, YLR407W, 0.08, 0.34, 0.00, false
YLR407W, YGL171W, 0.08, 0.34, 0.00, false
YGL172W, YHR139C, 0.43, 0.08, 0.00, false
YHR139C, YGL172W, 0.43, 0.08, 0.00, false
YGL172W, YPL251W, 0.13, -0.25, 0.00, false
YPL251W, YGL172W, 0.13, -0.25, 0.00, false
YGL173C, YLR424W, 0.42, 0.55, 0.00, false
