@RELATION PPI

@ATTRIBUTE Protein1 STRING
@ATTRIBUTE Protein2 STRING
@ATTRIBUTE ProteinExpressionSim NUMERIC
@ATTRIBUTE GeneExpressionSim NUMERIC
@ATTRIBUTE DIPSim NUMERIC
@ATTRIBUTE PositiveData {true,false}

@DATA
YLR418C, YAL013W, 0.12, -0.02, 0.00, true
YAL013W, YMR263W, 0.02, 0.19, 0.11, true
YMR263W, YAL013W, 0.02, 0.19, 0.11, true
YAL013W, YNL097C, 0.11, 0.17, 0.14, true
YNL097C, YAL013W, 0.11, 0.17, 0.14, true
YAL013W, YNL330C, 0.12, 0.10, 0.00, true
YNL330C, YAL013W, 0.12, 0.10, 0.00, true
YAL013W, YOL004W, 0.26, 0.19, 0.03, true
YOL004W, YAL013W, 0.26, 0.19, 0.03, true
YAL013W, YPL055C, 0.09, 0.14, 0.00, true
YPL055C, YAL013W, 0.09, 0.14, 0.00, true
YAL013W, YPL139C, 0.26, 0.11, 0.10, true
YPL139C, YAL013W, 0.26, 0.11, 0.10, true
YAL013W, YPL181W, 0.19, 0.31, 0.08, true
YPL181W, YAL013W, 0.19, 0.31, 0.08, true
YAL013W, YPR023C, 0.19, 0.22, 0.11, true
YPR023C, YAL013W, 0.19, 0.22, 0.11, true
YAL014C, YER133W, 0.15, 0.18, 0.00, true
YER133W, YAL014C, 0.15, 0.18, 0.00, true
YAL016W, YDL134C, 0.31, 0.17, 0.22, true
YDL134C, YAL016W, 0.31, 0.17, 0.22, true
YAL016W, YDL188C, 0.19, 0.35, 0.19, true
YDL188C, YAL016W, 0.19, 0.35, 0.19, true
YAL016W, YGL190C, 0.30, 0.51, 0.11, true
YGL190C, YAL016W, 0.30, 0.51, 0.11, true
YAL016W, YGR161C, 0.23, 0.13, 0.14, true
YGR161C, YAL016W, 0.23, 0.13, 0.14, true
YAL016W, YIL153W, 0.37, 0.29, 0.00, true
YIL153W, YAL016W, 0.37, 0.29, 0.00, true
YAL016W, YML109W, 0.35, -0.32, 0.05, true
YML109W, YAL016W, 0.35, -0.32, 0.05, true
YAL016W, YMR273C, 0.27, -0.13, 0.09, true
YMR273C, YAL016W, 0.27, -0.13, 0.09, true
YAL016W, YNL127W, 0.29, -0.11, 0.00, true
YNL127W, YAL016W, 0.29, -0.11, 0.00, true
YAL016W, YNL209W, 0.26, 0.40, 0.00, true
YNL209W, YAL016W, 0.26, 0.40, 0.00, true
YAL016W, YOR014W, 0.40, 0.42, 0.06, true
YOR014W, YAL016W, 0.40, 0.42, 0.06, true
YAL016W, YPL152W, 0.35, -0.40, 0.00, true
YPL152W, YAL016W, 0.35, -0.40, 0.00, true
YAL017W, YDR099W, 0.21, -0.14, 0.00, true
YDR099W, YAL017W, 0.21, -0.14, 0.00, true
YAL017W, YGL112C, 0.44, -0.51, 0.00, true
YGL112C, YAL017W, 0.44, -0.51, 0.00, true
YAL017W, YLR150W, 0.07, -0.30, 0.00, true
YLR150W, YAL017W, 0.07, -0.30, 0.00, true
YAL017W, YOL045W, 0.66, -0.25, 0.00, true
YOL045W, YAL017W, 0.66, -0.25, 0.00, true
YAL019W, YAL026C, 0.46, 0.07, 0.00, true
YAL026C, YAL019W, 0.46, 0.07, 0.00, true
YAL019W, YBR160W, 0.24, 0.20, 0.00, true
YBR160W, YAL019W, 0.24, 0.20, 0.00, true
YAL019W, YIL035C, 0.23, 0.16, 0.00, true
YIL035C, YAL019W, 0.23, 0.16, 0.00, true
YAL020C, YKR048C, 0.09, -0.22, 0.00, true
YKR048C, YAL020C, 0.09, -0.22, 0.00, true
YAL021C, YBR279W, 0.24, 0.12, 0.00, true
YBR279W, YAL021C, 0.24, 0.12, 0.00, true
YAL021C, YCR093W, 0.59, 0.46, 0.34, true
YCR093W, YAL021C, 0.59, 0.46, 0.34, true
YAL021C, YDL101C, 0.37, -0.02, 0.00, true
YDL101C, YAL021C, 0.37, -0.02, 0.00, true
YAL021C, YDL149W, 0.44, 0.10, 0.00, true
YDL149W, YAL021C, 0.44, 0.10, 0.00, true
YAL021C, YDL165W, 0.30, 0.32, 0.27, true
YDL165W, YAL021C, 0.30, 0.32, 0.27, true
YAL021C, YDR252W, 0.18, 0.11, 0.03, true
YDR252W, YAL021C, 0.18, 0.11, 0.03, true
YAL021C, YDR443C, 0.57, 0.47, 0.31, true
YDR443C, YAL021C, 0.57, 0.47, 0.31, true
YAL021C, YER068W, 0.49, 0.16, 0.31, true
YER068W, YAL021C, 0.49, 0.16, 0.31, true
YAL021C, YER148W, 0.25, -0.25, 0.02, true
YER148W, YAL021C, 0.25, -0.25, 0.02, true
YAL021C, YFL028C, 0.21, 0.07, 0.04, true
YFL028C, YAL021C, 0.21, 0.07, 0.04, true
YAL021C, YGL178W, 0.51, 0.51, 0.02, true
YGL178W, YAL021C, 0.51, 0.51, 0.02, true
YAL021C, YGR092W, 0.28, 0.03, 0.09, true
YGR092W, YAL021C, 0.28, 0.03, 0.09, true
YAL021C, YGR116W, 0.32, 0.20, 0.00, true
YGR116W, YAL021C, 0.32, 0.20, 0.00, true
YAL021C, YGR134W, 0.47, 0.45, 0.24, true
YGR134W, YAL021C, 0.47, 0.45, 0.24, true
YAL021C, YIL038C, 0.29, 0.36, 0.25, true
YIL038C, YAL021C, 0.29, 0.36, 0.25, true
YAL021C, YJL127C, 0.38, 0.44, 0.00, true
YJL127C, YAL021C, 0.38, 0.44, 0.00, true
YAL021C, YKL113C, 0.15, 0.37, 0.00, true
YKL113C, YAL021C, 0.15, 0.37, 0.00, true
YAL021C, YKR036C, 0.27, 0.17, 0.17, true
YKR036C, YAL021C, 0.27, 0.17, 0.17, true
YAL021C, YLR418C, 0.26, -0.29, 0.00, true
YLR418C, YAL021C, 0.26, -0.29, 0.00, true
YAL021C, YML032C, 0.27, 0.33, 0.00, true
YML032C, YAL021C, 0.27, 0.33, 0.00, true
YAL021C, YNL288W, 0.43, 0.41, 0.38, true
YNL288W, YAL021C, 0.43, 0.41, 0.38, true
YAL021C, YNR052C, 0.47, 0.39, 0.21, true
YNR052C, YAL021C, 0.47, 0.39, 0.21, true
YAL021C, YPL042C, 0.19, 0.18, 0.21, true
YPL042C, YAL021C, 0.19, 0.18, 0.21, true
YAL021C, YPR072W, 0.25, 0.29, 0.20, true
YPR072W, YAL021C, 0.25, 0.29, 0.20, true
YAL023C, YDL095W, 0.58, 0.76, 0.00, true
YDL095W, YAL023C, 0.58, 0.76, 0.00, true
YAL023C, YJR143C, 0.56, 0.74, 0.00, true
YJR143C, YAL023C, 0.56, 0.74, 0.00, true
YAL023C, YOR002W, 0.56, -0.00, 0.00, true
YOR002W, YAL023C, 0.56, -0.00, 0.00, true
YAL023C, YOR321W, 0.66, 0.52, 0.00, true
YOR321W, YAL023C, 0.66, 0.52, 0.00, true
YAL024C, YFR028C, 0.37, 0.37, 0.00, true
YFR028C, YAL024C, 0.37, 0.37, 0.00, true
YAL024C, YHL007C, 0.53, 0.06, 0.00, true
YHL007C, YAL024C, 0.53, 0.06, 0.00, true
YAL024C, YHR158C, 0.51, 0.13, 0.11, true
YHR158C, YAL024C, 0.51, 0.13, 0.11, true
YAL024C, YLR229C, 0.22, 0.32, 0.00, true
YLR229C, YAL024C, 0.22, 0.32, 0.00, true
YAL024C, YML064C, 0.28, 0.31, 0.00, true
YML064C, YAL024C, 0.28, 0.31, 0.00, true
YAL024C, YMR055C, 0.37, 0.19, 0.00, true
YMR055C, YAL024C, 0.37, 0.19, 0.00, true
YAL024C, YMR078C, 0.45, 0.41, 0.00, true
YMR078C, YAL024C, 0.45, 0.41, 0.00, true
YAL024C, YNL098C, 0.28, -0.22, 0.00, true
YNL098C, YAL024C, 0.28, -0.22, 0.00, true
YAL024C, YNL312W, 0.28, 0.48, 0.00, true
YNL312W, YAL024C, 0.28, 0.48, 0.00, true
YAL024C, YOR089C, 0.21, -0.25, 0.00, true
YOR089C, YAL024C, 0.21, -0.25, 0.00, true
YAL026C, YAL053W, 0.58, -0.28, 0.00, true
YAL053W, YAL026C, 0.58, -0.28, 0.00, true
YAL026C, YDL192W, 0.27, -0.12, 0.00, true
YDL192W, YAL026C, 0.27, -0.12, 0.00, true
YAL026C, YEL022W, 0.60, -0.20, 0.00, true
YEL022W, YAL026C, 0.60, -0.20, 0.00, true
YAL026C, YLR447C, 0.37, -0.02, 0.00, true
YLR447C, YAL026C, 0.37, -0.02, 0.00, true
YAL026C, YML069W, 0.34, 0.03, 0.00, true
YML069W, YAL026C, 0.34, 0.03, 0.00, true
YAL027W, YCL024W, 0.24, -0.16, 0.00, true
YCL024W, YAL027W, 0.24, -0.16, 0.00, true
YAL027W, YCR009C, 0.06, 0.10, 0.00, true
YCR009C, YAL027W, 0.06, 0.10, 0.00, true
YAL027W, YCR028C-A, 0.26, 0.20, 0.00, true
YCR028C-A, YAL027W, 0.26, 0.20, 0.00, true
YAL027W, YDL014W, 0.14, -0.43, 0.00, true
YDL014W, YAL027W, 0.14, -0.43, 0.00, true
YAL027W, YDR174W, 0.25, -0.08, 0.00, true
YDR174W, YAL027W, 0.25, -0.08, 0.00, true
YAL027W, YDR381W, 0.12, -0.10, 0.00, true
YDR381W, YAL027W, 0.12, -0.10, 0.00, true
YAL027W, YDR388W, 0.19, -0.31, 0.00, true
YDR388W, YAL027W, 0.19, -0.31, 0.00, true
YAL027W, YDR507C, 0.42, -0.19, 0.00, true
YDR507C, YAL027W, 0.42, -0.19, 0.00, true
YAL027W, YER049W, 0.14, -0.30, 0.00, true
YER049W, YAL027W, 0.14, -0.30, 0.00, true
YAL027W, YGL106W, -0.01, -0.21, 0.00, true
YGL106W, YAL027W, -0.01, -0.21, 0.00, true
YAL027W, YIL095W, 0.30, 0.19, 0.00, true
YIL095W, YAL027W, 0.30, 0.19, 0.00, true
YAL027W, YIL105C, 0.31, -0.20, 0.00, true
YIL105C, YAL027W, 0.31, -0.20, 0.00, true
YAL027W, YLL018C, 0.26, -0.48, 0.00, true
YLL018C, YAL027W, 0.26, -0.48, 0.00, true
YAL027W, YLR429W, 0.22, -0.46, 0.00, true
YLR429W, YAL027W, 0.22, -0.46, 0.00, true
YAL027W, YML095C, 0.21, 0.08, 0.02, true
YML095C, YAL027W, 0.21, 0.08, 0.02, true
YAL027W, YMR128W, 0.32, -0.20, 0.00, true
YMR128W, YAL027W, 0.32, -0.20, 0.00, true
YAL027W, YNL106C, 0.31, 0.13, 0.00, true
YNL106C, YAL027W, 0.31, 0.13, 0.00, true
YAL027W, YOR294W, 0.16, -0.08, 0.00, true
YOR294W, YAL027W, 0.16, -0.08, 0.00, true
YAL027W, YPL004C, 0.16, 0.13, 0.02, true
YPL004C, YAL027W, 0.16, 0.13, 0.02, true
YAL027W, YPL022W, 0.28, -0.05, 0.01, true
YPL022W, YAL027W, 0.28, -0.05, 0.01, true
YAL027W, YPL146C, 0.14, -0.20, 0.00, true
YPL146C, YAL027W, 0.14, -0.20, 0.00, true
YAL027W, YPR171W, 0.24, -0.38, 0.00, true
YPR171W, YAL027W, 0.24, -0.38, 0.00, true
YAL028W, YLR233C, 0.35, 0.17, 0.00, true
YLR233C, YAL028W, 0.35, 0.17, 0.00, true
YAL029C, YBR081C, 0.40, 0.30, 0.00, true
YBR081C, YAL029C, 0.40, 0.30, 0.00, true
YAL029C, YBR109C, 0.25, -0.08, 0.01, true
YBR109C, YAL029C, 0.25, -0.08, 0.01, true
YAL029C, YBR130C, 0.29, 0.07, 0.13, true
YBR130C, YAL029C, 0.29, 0.07, 0.13, true
YAL029C, YFL039C, 0.46, 0.28, 0.02, true
YFL039C, YAL029C, 0.46, 0.28, 0.02, true
YAL029C, YGL106W, 0.24, -0.51, 0.18, true
YGL106W, YAL029C, 0.24, -0.51, 0.18, true
YAL029C, YHR023W, 0.55, 0.16, 0.06, true
YHR023W, YAL029C, 0.55, 0.16, 0.06, true
YAL029C, YKL130C, 0.41, 0.16, 0.01, true
YKL130C, YAL029C, 0.41, 0.16, 0.01, true
YAL029C, YML056C, 0.37, 0.20, 0.00, true
YML056C, YAL029C, 0.37, 0.20, 0.00, true
YAL030W, YDR468C, 0.14, 0.18, 0.00, true
YDR468C, YAL030W, 0.14, 0.18, 0.00, true
YAL030W, YGR009C, 0.16, 0.06, 0.00, true
YGR009C, YAL030W, 0.16, 0.06, 0.00, true
YAL030W, YMR183C, 0.09, -0.25, 0.17, true
YMR183C, YAL030W, 0.09, -0.25, 0.17, true
YAL030W, YOR327C, 0.21, -0.07, 0.08, true
YOR327C, YAL030W, 0.21, -0.07, 0.08, true
YAL030W, YPL232W, 0.08, -0.06, 0.17, true
YPL232W, YAL030W, 0.08, -0.06, 0.17, true
YAL032C, YDL209C, 0.22, 0.23, 0.07, true
YDL209C, YAL032C, 0.22, 0.23, 0.07, true
YAL032C, YDR364C, 0.07, -0.01, 0.11, true
YDR364C, YAL032C, 0.07, -0.01, 0.11, true
YAL032C, YDR416W, 0.21, 0.14, 0.11, true
YDR416W, YAL032C, 0.21, 0.14, 0.11, true
YAL032C, YER013W, 0.31, 0.30, 0.08, true
YER013W, YAL032C, 0.31, 0.30, 0.08, true
YAL032C, YER172C, 0.28, 0.32, 0.00, true
YER172C, YAL032C, 0.28, 0.32, 0.00, true
YAL032C, YGL120C, 0.22, -0.07, 0.17, true
YGL120C, YAL032C, 0.22, -0.07, 0.17, true
YAL032C, YGL128C, 0.03, 0.41, 0.09, true
YGL128C, YAL032C, 0.03, 0.41, 0.09, true
YAL032C, YGR278W, 0.23, 0.35, 0.08, true
YGR278W, YAL032C, 0.23, 0.35, 0.08, true
YAL032C, YHR165C, 0.28, 0.08, 0.26, true
YHR165C, YAL032C, 0.28, 0.08, 0.26, true
YAL032C, YJR050W, 0.10, 0.00, 0.26, true
YJR050W, YAL032C, 0.10, 0.00, 0.26, true
YAL032C, YKL095W, 0.08, 0.01, 0.31, true
YKL095W, YAL032C, 0.08, 0.01, 0.31, true
YAL032C, YKL173W, 0.31, 0.21, 0.08, true
YKL173W, YAL032C, 0.31, 0.21, 0.08, true
YAL032C, YLL036C, 0.15, 0.12, 0.18, true
YLL036C, YAL032C, 0.15, 0.12, 0.18, true
YAL032C, YLR117C, 0.19, 0.30, 0.21, true
YLR117C, YAL032C, 0.19, 0.30, 0.21, true
